Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,18,80,45,0.5806,0.009558,5
11,1,19,80,0.0323,0.04086,5
3,4,11,92,0.129,0.005914,5
6,1,10,80,0.0323,0.021505,5
12,5,8,18,0.1613,0.003441,5
108,2,5,90,0.0645,0.005376,5
31,2,4,80,0.0645,0.004301,5
76,2,3,80,0.0645,0.003226,5
85,2,3,12,0.0645,0.003226,5
18,1,3,8,0.0323,0.006452,5
84,1,2,80,0.0323,0.004301,5
17,1,2,8,0.0323,0.004301,5
83,1,2,2,0.0323,0.004301,5
86,1,2,2,0.0323,0.004301,5
2,1,1,80,0.0323,0.002151,5
100,1,1,80,0.0323,0.002151,5
82,1,1,80,0.0323,0.002151,5
19,1,1,80,0.0323,0.002151,5
32,1,1,8,0.0323,0.002151,5
88,1,1,3,0.0323,0.002151,5
7,1,1,0,0.0323,0.002151,5
8,1,1,0,0.0323,0.002151,5
4,0,0,0,0.0,0.0,5
89,0,0,0,0.0,0.0,5
5,0,0,0,0.0,0.0,5
55,0,0,0,0.0,0.0,5
47,0,0,0,0.0,0.0,5
9,0,0,0,0.0,0.0,5
34,0,0,0,0.0,0.0,5
13,0,0,0,0.0,0.0,5
25,0,0,0,0.0,0.0,5
15,0,0,0,0.0,0.0,5
