Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
37,8,109,164,0.1951,0.016616,10
12,6,96,38,0.1463,0.019512,10
1,13,78,231,0.3171,0.007317,10
87,11,65,207,0.2683,0.007206,10
14,3,29,107,0.0732,0.011789,10
84,1,14,12,0.0244,0.017073,10
85,2,12,85,0.0488,0.007317,10
82,3,12,81,0.0732,0.004878,10
58,2,10,30,0.0488,0.006098,10
16,1,8,96,0.0244,0.009756,10
41,1,7,109,0.0244,0.008537,10
45,1,7,109,0.0244,0.008537,10
76,1,7,78,0.0244,0.008537,10
83,2,5,78,0.0488,0.003049,10
8,2,4,78,0.0488,0.002439,10
71,1,3,7,0.0244,0.003659,10
44,1,2,109,0.0244,0.002439,10
3,1,2,78,0.0244,0.002439,10
46,2,2,13,0.0488,0.00122,10
65,1,1,96,0.0244,0.00122,10
81,1,1,65,0.0244,0.00122,10
24,1,1,29,0.0244,0.00122,10
96,1,1,12,0.0244,0.00122,10
19,1,1,3,0.0244,0.00122,10
104,1,1,0,0.0244,0.00122,10
4,0,0,0,0.0,0.0,10
86,0,0,0,0.0,0.0,10
9,0,0,0,0.0,0.0,10
18,0,0,0,0.0,0.0,10
17,0,0,0,0.0,0.0,10
22,0,0,0,0.0,0.0,10
38,0,0,0,0.0,0.0,10
73,0,0,0,0.0,0.0,10
105,0,0,0,0.0,0.0,10
21,0,0,0,0.0,0.0,10
103,0,0,0,0.0,0.0,10
27,0,0,0,0.0,0.0,10
95,0,0,0,0.0,0.0,10
93,0,0,0,0.0,0.0,10
42,0,0,0,0.0,0.0,10
40,0,0,0,0.0,0.0,10
70,0,0,0,0.0,0.0,10
