Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,9,74,121,0.2727,0.015572,9
87,7,57,163,0.2121,0.015422,9
3,11,50,227,0.3333,0.008609,9
82,5,38,145,0.1515,0.014394,9
12,7,36,65,0.2121,0.00974,9
85,2,15,124,0.0606,0.014205,9
16,1,12,36,0.0303,0.022727,9
46,2,9,43,0.0606,0.008523,9
18,1,6,36,0.0303,0.011364,9
96,2,5,9,0.0606,0.004735,9
8,2,3,124,0.0606,0.002841,9
76,3,3,107,0.0909,0.001894,9
17,1,2,36,0.0303,0.003788,9
79,2,2,1,0.0606,0.001894,9
81,1,1,57,0.0303,0.001894,9
29,1,1,36,0.0303,0.001894,9
88,1,1,15,0.0303,0.001894,9
78,1,1,3,0.0303,0.001894,9
7,1,1,2,0.0303,0.001894,9
89,0,0,0,0.0,0.0,9
83,0,0,0,0.0,0.0,9
90,0,0,0,0.0,0.0,9
2,0,0,0,0.0,0.0,9
6,0,0,0,0.0,0.0,9
11,0,0,0,0.0,0.0,9
13,0,0,0,0.0,0.0,9
14,0,0,0,0.0,0.0,9
59,0,0,0,0.0,0.0,9
37,0,0,0,0.0,0.0,9
36,0,0,0,0.0,0.0,9
30,0,0,0,0.0,0.0,9
105,0,0,0,0.0,0.0,9
101,0,0,0,0.0,0.0,9
41,0,0,0,0.0,0.0,9
