Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
12,9,49,76,0.225,0.00698,11
41,7,48,96,0.175,0.008791,11
37,3,42,53,0.075,0.017949,11
16,1,33,49,0.025,0.042308,11
76,7,25,41,0.175,0.004579,11
1,6,22,101,0.15,0.004701,11
65,1,18,49,0.025,0.023077,11
58,2,15,9,0.05,0.009615,11
101,2,15,8,0.05,0.009615,11
82,4,13,36,0.1,0.004167,11
17,1,11,49,0.025,0.014103,11
14,2,9,64,0.05,0.005769,11
87,4,7,60,0.1,0.002244,11
85,2,7,47,0.05,0.004487,11
96,2,7,13,0.05,0.004487,11
59,1,6,5,0.025,0.007692,11
79,3,5,10,0.075,0.002137,11
27,2,3,60,0.05,0.001923,11
3,1,3,49,0.025,0.003846,11
102,2,3,11,0.05,0.001923,11
83,1,3,0,0.025,0.003846,11
93,2,2,90,0.05,0.001282,11
18,1,2,49,0.025,0.002564,11
42,1,2,49,0.025,0.002564,11
84,2,2,29,0.05,0.001282,11
43,1,1,48,0.025,0.001282,11
11,1,1,22,0.025,0.001282,11
78,1,1,5,0.025,0.001282,11
88,0,0,0,0.0,0.0,11
86,0,0,0,0.0,0.0,11
13,0,0,0,0.0,0.0,11
61,0,0,0,0.0,0.0,11
81,0,0,0,0.0,0.0,11
36,0,0,0,0.0,0.0,11
24,0,0,0,0.0,0.0,11
46,0,0,0,0.0,0.0,11
72,0,0,0,0.0,0.0,11
26,0,0,0,0.0,0.0,11
94,0,0,0,0.0,0.0,11
92,0,0,0,0.0,0.0,11
66,0,0,0,0.0,0.0,11
