Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,15.545454545454545,111.0,137.27272727272728,0.5265090909090909,0.01627809090909091,6.0
37,3.0,38.25,61.5,0.073625,0.009250999999999999,9.5
12,4.4,32.1,63.9,0.13302,0.00906,6.5
3,5.454545454545454,30.636363636363637,148.8181818181818,0.17630909090909092,0.010062727272727272,6.0
87,6.0,30.166666666666668,175.66666666666666,0.16041666666666668,0.0076,8.5
19,1.4,20.2,119.0,0.043019999999999996,0.028000199999999996,7.2
107,0.5,20.0,0.0,0.0156,0.0403225,3.5
41,2.6666666666666665,18.333333333333332,68.33333333333333,0.06646666666666666,0.005776,10.0
16,1.0,16.4,40.6,0.02654,0.0224004,9.0
11,1.2222222222222223,15.333333333333334,94.44444444444444,0.037088888888888887,0.022697111111111112,6.111111111111111
58,2.0,12.5,19.5,0.0494,0.0078565,10.5
76,3.0,12.3,116.9,0.08671999999999999,0.0079728,6.5
68,1.0,11.0,100.0,0.0286,0.018487,7.0
69,1.0,11.0,100.0,0.0286,0.018487,7.0
82,2.3333333333333335,10.833333333333334,79.83333333333333,0.06591666666666667,0.004777833333333334,8.166666666666666
5,0.5714285714285714,9.857142857142858,70.14285714285714,0.020942857142857145,0.010534285714285715,4.0
65,1.0,9.5,72.5,0.0247,0.0121485,10.5
85,2.272727272727273,7.545454545454546,98.36363636363636,0.08144545454545454,0.007593545454545455,6.0
101,1.0,7.5,4.0,0.025,0.0048075,10.0
45,1.0,7.0,109.0,0.0244,0.008537,10.0
77,1.3333333333333333,6.0,118.33333333333333,0.04466666666666667,0.005972999999999999,7.0
14,1.2857142857142858,6.0,70.57142857142857,0.033557142857142855,0.003122142857142857,7.857142857142857
78,1.2,5.4,17.4,0.03506,0.012069999999999999,8.2
17,0.8571428571428571,5.285714285714286,31.714285714285715,0.025585714285714288,0.011049142857142856,8.0
83,1.9090909090909092,5.090909090909091,49.54545454545455,0.06567272727272727,0.005503363636363636,6.0
108,2.0,5.0,90.0,0.0645,0.005376,5.0
20,0.6666666666666666,5.0,79.0,0.022366666666666663,0.013057333333333332,7.0
23,1.0,5.0,21.0,0.0244,0.006098,8.0
6,1.0,4.777777777777778,105.33333333333333,0.03693333333333334,0.011133555555555556,5.0
49,2.5,4.5,118.5,0.0781,0.0018145,3.5
18,0.8571428571428571,4.428571428571429,31.714285714285715,0.025585714285714288,0.008913714285714285,8.0
96,1.6666666666666667,4.333333333333333,11.333333333333334,0.045000000000000005,0.0034806666666666666,10.0
84,1.4285714285714286,4.142857142857143,103.28571428571429,0.044085714285714284,0.005047857142857144,6.714285714285714
2,1.3333333333333333,3.7777777777777777,106.33333333333333,0.0414,0.006672,5.0
46,1.3333333333333333,3.6666666666666665,18.666666666666668,0.03646666666666667,0.0032476666666666665,10.0
86,1.4285714285714286,3.5714285714285716,90.71428571428571,0.045571428571428575,0.0032015714285714286,6.142857142857143
79,2.0,3.3333333333333335,6.333333333333333,0.054733333333333335,0.0030243333333333333,9.0
102,2.0,3.0,11.0,0.05,0.001923,11.0
71,1.0,3.0,7.0,0.0244,0.003659,10.0
89,1.8333333333333333,2.5,48.666666666666664,0.07476666666666666,0.005105833333333334,4.0
8,1.0,2.2,43.1,0.03297,0.0032459000000000003,5.5
44,1.0,2.0,109.0,0.0244,0.002439,10.0
88,1.375,2.0,21.625,0.066125,0.00406825,5.25
52,0.5,2.0,7.0,0.0156,0.0040325,3.5
59,0.3333333333333333,2.0,1.6666666666666667,0.008333333333333333,0.002564,9.333333333333334
31,1.0,1.6666666666666667,26.666666666666668,0.031900000000000005,0.0021056666666666667,5.0
27,1.0,1.5,30.0,0.025,0.0009615,10.5
25,0.6666666666666666,1.3333333333333333,42.666666666666664,0.020966666666666665,0.002245333333333333,6.333333333333333
22,0.6666666666666666,1.3333333333333333,11.333333333333334,0.017666666666666667,0.0017800000000000001,8.333333333333334
7,0.8333333333333334,1.3333333333333333,2.6666666666666665,0.03478333333333333,0.006004,4.0
15,1.0,1.25,95.75,0.036000000000000004,0.001446,5.5
53,1.0,1.0,256.0,0.0312,0.002016,4.0
50,1.0,1.0,191.0,0.0312,0.002016,3.0
98,1.0,1.0,92.0,0.0435,0.003953,2.0
100,1.0,1.0,80.0,0.0323,0.002151,5.0
43,1.0,1.0,48.0,0.025,0.001282,11.0
93,1.0,1.0,45.0,0.025,0.000641,10.5
29,1.0,1.0,36.0,0.0303,0.001894,9.0
42,0.5,1.0,24.5,0.0125,0.001282,10.5
33,1.0,1.0,21.0,0.0244,0.00122,8.0
80,1.0,1.0,21.0,0.0244,0.00122,8.0
99,1.0,1.0,16.0,0.0312,0.002016,3.0
74,1.0,1.0,5.0,0.0286,0.001681,7.0
75,1.0,1.0,1.0,0.0286,0.001681,7.0
104,1.0,1.0,0.0,0.0244,0.00122,10.0
9,0.375,0.875,24.0,0.0113875,0.0013023750000000001,5.625
13,0.42857142857142855,0.7142857142857143,15.571428571428571,0.014414285714285713,0.001743142857142857,6.571428571428571
28,0.5,0.5,81.0,0.0122,0.00061,7.5
55,0.5,0.5,48.0,0.018025,0.0014085,4.25
34,0.5,0.5,26.25,0.013250000000000001,0.00072525,5.75
24,0.5,0.5,14.5,0.0122,0.00061,10.5
38,0.5,0.5,14.5,0.0122,0.00061,9.0
32,0.5,0.5,4.0,0.01615,0.0010755,4.0
51,0.5,0.5,1.0,0.0156,0.001008,3.5
90,0.4,0.4,56.8,0.0125,0.0004032,3.8
81,0.4,0.4,24.4,0.01094,0.0006228,9.0
47,0.3333333333333333,0.3333333333333333,30.666666666666668,0.014499999999999999,0.0013176666666666666,3.6666666666666665
4,0.25,0.25,20.25,0.00695,0.0004045,5.5
10,0.0,0.0,0.0,0.0,0.0,2.5
103,0.0,0.0,0.0,0.0,0.0,10.0
105,0.0,0.0,0.0,0.0,0.0,9.5
106,0.0,0.0,0.0,0.0,0.0,4.0
109,0.0,0.0,0.0,0.0,0.0,4.0
21,0.0,0.0,0.0,0.0,0.0,10.0
26,0.0,0.0,0.0,0.0,0.0,11.0
30,0.0,0.0,0.0,0.0,0.0,9.0
35,0.0,0.0,0.0,0.0,0.0,5.0
36,0.0,0.0,0.0,0.0,0.0,9.333333333333334
39,0.0,0.0,0.0,0.0,0.0,8.0
40,0.0,0.0,0.0,0.0,0.0,10.0
48,0.0,0.0,0.0,0.0,0.0,3.0
54,0.0,0.0,0.0,0.0,0.0,1.0
56,0.0,0.0,0.0,0.0,0.0,2.5
61,0.0,0.0,0.0,0.0,0.0,9.0
62,0.0,0.0,0.0,0.0,0.0,7.0
