Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,21,256,152,0.6562,0.024578,4
107,1,40,0,0.0312,0.080645,4
11,1,29,256,0.0312,0.058468,4
3,6,28,281,0.1875,0.009409,4
85,4,18,292,0.125,0.009073,4
6,1,15,256,0.0312,0.030242,4
86,3,14,310,0.0938,0.009409,4
83,6,14,78,0.1875,0.004704,4
89,6,8,260,0.1875,0.002688,4
76,1,6,18,0.0312,0.012097,4
8,2,5,0,0.0625,0.00504,4
52,1,4,14,0.0312,0.008065,4
5,1,3,256,0.0312,0.006048,4
2,1,3,256,0.0312,0.006048,4
7,1,3,8,0.0312,0.006048,4
90,2,2,284,0.0625,0.002016,4
84,2,2,270,0.0625,0.002016,4
88,1,2,18,0.0312,0.004032,4
53,1,1,256,0.0312,0.002016,4
12,1,1,28,0.0312,0.002016,4
13,1,1,0,0.0312,0.002016,4
31,1,1,0,0.0312,0.002016,4
4,0,0,0,0.0,0.0,4
47,0,0,0,0.0,0.0,4
9,0,0,0,0.0,0.0,4
35,0,0,0,0.0,0.0,4
49,0,0,0,0.0,0.0,4
51,0,0,0,0.0,0.0,4
63,0,0,0,0.0,0.0,4
109,0,0,0,0.0,0.0,4
14,0,0,0,0.0,0.0,4
106,0,0,0,0.0,0.0,4
15,0,0,0,0.0,0.0,4
