Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,26,191,77,0.8125,0.014811,3
83,7,24,215,0.2188,0.006912,3
3,6,16,201,0.1875,0.005376,3
49,5,9,237,0.1562,0.003629,3
86,4,7,231,0.125,0.003528,3
11,2,7,207,0.0625,0.007056,3
84,2,6,191,0.0625,0.006048,3
6,2,4,207,0.0625,0.004032,3
88,2,4,4,0.0625,0.004032,3
76,2,3,191,0.0625,0.003024,3
9,2,2,191,0.0625,0.002016,3
13,1,2,2,0.0312,0.004032,3
2,2,2,0,0.0625,0.002016,3
50,1,1,191,0.0312,0.002016,3
99,1,1,16,0.0312,0.002016,3
51,1,1,2,0.0312,0.002016,3
4,1,1,0,0.0312,0.002016,3
89,1,1,0,0.0312,0.002016,3
5,0,0,0,0.0,0.0,3
48,0,0,0,0.0,0.0,3
85,0,0,0,0.0,0.0,3
90,0,0,0,0.0,0.0,3
7,0,0,0,0.0,0.0,3
8,0,0,0,0.0,0.0,3
55,0,0,0,0.0,0.0,3
10,0,0,0,0.0,0.0,3
56,0,0,0,0.0,0.0,3
34,0,0,0,0.0,0.0,3
35,0,0,0,0.0,0.0,3
32,0,0,0,0.0,0.0,3
107,0,0,0,0.0,0.0,3
12,0,0,0,0.0,0.0,3
52,0,0,0,0.0,0.0,3
