Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,19,162,95,0.4634,0.010398,8
3,9,33,207,0.2195,0.004472,8
87,9,29,198,0.2195,0.00393,8
16,1,25,21,0.0244,0.030488,8
12,4,21,11,0.0976,0.006402,8
76,5,9,196,0.122,0.002195,8
85,3,9,195,0.0732,0.003659,8
18,1,6,21,0.0244,0.007317,8
17,1,6,21,0.0244,0.007317,8
2,4,5,196,0.0976,0.001524,8
23,1,5,21,0.0244,0.006098,8
11,2,4,33,0.0488,0.002439,8
14,3,3,216,0.0732,0.00122,8
22,1,3,33,0.0244,0.003659,8
25,1,3,21,0.0244,0.003659,8
37,1,2,29,0.0244,0.002439,8
4,1,1,162,0.0244,0.00122,8
6,1,1,162,0.0244,0.00122,8
19,1,1,162,0.0244,0.00122,8
28,1,1,162,0.0244,0.00122,8
38,1,1,29,0.0244,0.00122,8
33,1,1,21,0.0244,0.00122,8
80,1,1,21,0.0244,0.00122,8
78,1,1,9,0.0244,0.00122,8
34,1,1,5,0.0244,0.00122,8
86,1,1,0,0.0244,0.00122,8
83,0,0,0,0.0,0.0,8
8,0,0,0,0.0,0.0,8
9,0,0,0,0.0,0.0,8
35,0,0,0,0.0,0.0,8
84,0,0,0,0.0,0.0,8
13,0,0,0,0.0,0.0,8
82,0,0,0,0.0,0.0,8
77,0,0,0,0.0,0.0,8
20,0,0,0,0.0,0.0,8
81,0,0,0,0.0,0.0,8
67,0,0,0,0.0,0.0,8
73,0,0,0,0.0,0.0,8
39,0,0,0,0.0,0.0,8
59,0,0,0,0.0,0.0,8
91,0,0,0,0.0,0.0,8
36,0,0,0,0.0,0.0,8
