Libro,Libro_base_conexiones,Libro_importante_pesos_totales,Centralidad_grado,Grado_centralidad_normalizado,Intermediacion_normalizada,Fase
1,18,100,223,0.5143,0.009337,7
3,9,93,154,0.2571,0.017367,7
11,2,37,105,0.0571,0.031092,7
19,2,22,117,0.0571,0.018487,7
87,3,19,193,0.0857,0.010644,7
76,5,17,133,0.1429,0.005714,7
77,2,14,122,0.0571,0.011765,7
69,1,11,100,0.0286,0.018487,7
68,1,11,100,0.0286,0.018487,7
78,2,8,20,0.0571,0.006723,7
2,1,6,100,0.0286,0.010084,7
18,1,6,1,0.0286,0.010084,7
85,2,5,100,0.0571,0.004202,7
20,1,5,100,0.0286,0.008403,7
9,1,5,1,0.0286,0.008403,7
6,1,4,100,0.0286,0.006723,7
16,1,4,1,0.0286,0.006723,7
79,1,3,8,0.0286,0.005042,7
55,1,1,100,0.0286,0.001681,7
34,1,1,100,0.0286,0.001681,7
15,1,1,100,0.0286,0.001681,7
83,1,1,5,0.0286,0.001681,7
74,1,1,5,0.0286,0.001681,7
12,1,1,1,0.0286,0.001681,7
17,1,1,1,0.0286,0.001681,7
22,1,1,1,0.0286,0.001681,7
75,1,1,1,0.0286,0.001681,7
4,0,0,0,0.0,0.0,7
5,0,0,0,0.0,0.0,7
88,0,0,0,0.0,0.0,7
62,0,0,0,0.0,0.0,7
8,0,0,0,0.0,0.0,7
14,0,0,0,0.0,0.0,7
61,0,0,0,0.0,0.0,7
28,0,0,0,0.0,0.0,7
81,0,0,0,0.0,0.0,7
